time,X,Y,Z,rollDeg,pitchDeg,yawDeg,alphaDeg,betaDeg
0.330482,182.922,0,-10093.2,180,68.9766,180,0.296537,0
0.49715,149.431,0,-10177,180,67.9847,180,-0.229662,0
0.663879,116.544,0,-10255.2,180,66.9816,180,-0.229779,0
0.830623,84.2657,0,-10328.5,180,66.0345,180,-0.229998,0
0.997312,52.6098,0,-10397.4,180,65.1371,180,-0.230318,0
1.16435,21.4963,0,-10462.4,180,64.282,180,-0.230738,0
1.33102,-8.95022,0,-10523.8,180,63.4681,180,-0.231256,0
1.49781,-38.8333,0,-10582,180,62.6891,180,-0.231871,0
1.66471,-68.1637,0,-10637.2,180,61.9415,180,-0.232584,0
1.83138,-96.8952,0,-10689.7,180,61.224,180,-0.233394,0
1.99805,-125.085,0,-10739.8,180,60.533,180,-0.234302,0
2.16485,-152.769,0,-10787.6,180,59.8655,180,-0.23531,0
2.33151,-179.918,0,-10833.3,180,59.2207,180,-0.236417,0
2.49886,-206.678,0,-10877.2,180,58.5938,180,-0.23763,0
2.66566,-232.867,0,-10919.1,180,57.9876,180,-0.238943,0
2.83233,-258.566,0,-10959.4,180,57.3992,180,-0.24036,0
2.999,-283.808,0,-10998,180,56.8268,180,-0.241883,0
3.1657,-308.613,0,-11035.2,180,56.269,180,-0.24347,0
3.33247,-332.998,0,-11070.9,180,55.7249,180,-0.245168,0
3.49914,-356.952,0,-11105.4,180,55.1939,180,-0.246981,0
3.66581,-380.501,0,-11138.6,180,54.6747,180,-0.248913,0
3.83253,-403.662,0,-11170.6,180,54.1665,180,-0.250968,0
3.9992,-426.433,0,-11201.6,180,53.6686,180,-0.253147,0
4.1659,-448.837,0,-11231.5,180,53.1802,180,-0.255454,0
4.33275,-470.896,0,-11260.4,180,52.7003,180,-0.257895,0
4.49941,-492.578,0,-11288.3,180,52.2292,180,-0.260467,0
4.6661,-513.919,0,-11315.4,180,51.7657,180,-0.263179,0
4.83277,-534.921,0,-11341.5,180,51.3094,180,-0.266033,0
4.99943,-555.596,0,-11366.9,180,50.8597,180,-0.269033,0
5.16612,-575.955,0,-11391.4,180,50.4161,180,-0.272185,0
5.33281,-596.002,0,-11415.2,180,49.9783,180,-0.275493,0
5.49949,-615.741,0,-11438.3,180,49.5458,180,-0.278961,0
5.66616,-635.183,0,-11460.7,180,49.1182,180,-0.282595,0
5.83285,-654.336,0,-11482.4,180,48.6951,180,-0.2864,0
5.99952,-673.201,0,-11503.5,180,48.2763,180,-0.290382,0
6.16619,-691.788,0,-11524,180,47.8612,180,-0.294547,0
6.33286,-710.102,0,-11543.9,180,47.4497,180,-0.2989,0
6.49953,-728.149,0,-11563.2,180,47.0413,180,-0.30345,0
6.66619,-745.934,0,-11581.9,180,46.6359,180,-0.308201,0
6.83286,-763.463,0,-11600.1,180,46.2331,180,-0.313162,0
6.99988,-780.777,0,-11617.9,180,45.8317,180,-0.318351,0
7.16654,-797.807,0,-11635.1,180,45.4333,180,-0.323755,0
7.33321,-814.597,0,-11651.8,180,45.0366,180,-0.329391,0
7.50038,-831.198,0,-11668.1,180,44.6404,180,-0.335287,0
7.66732,-847.543,0,-11683.9,180,44.2459,180,-0.341425,0
7.83404,-863.638,0,-11699.3,180,43.8531,180,-0.347816,0
8.0007,-879.503,0,-11714.2,180,43.4613,180,-0.354474,0
8.16737,-895.157,0,-11728.8,180,43.0699,180,-0.361415,0
8.33413,-910.585,0,-11742.9,180,42.6791,180,-0.368642,0
8.5008,-925.801,0,-11756.7,180,42.2884,180,-0.37617,0
8.66747,-940.808,0,-11770,180,41.8978,180,-0.384009,0
8.83414,-955.609,0,-11783,180,41.507,180,-0.392173,0
0.116667,102.469,0,-10001.5,0,1.21327,0,0.0541282,0
0.283385,220.981,0,-10005.9,0,2.48997,0,-0.209482,0
0.450053,330.382,0,-10012.4,0,3.73154,0,-0.22019,0
0.616721,431.925,0,-10020.5,0,4.88266,0,-0.219086,0
0.783388,526.618,0,-10029.9,0,5.95244,0,-0.217889,0
0.950056,615.291,0,-10040.4,0,6.95063,0,-0.216618,0
1.11672,698.632,0,-10051.6,0,7.88525,0,-0.215274,0
1.28339,777.216,0,-10063.5,0,8.76299,0,-0.213858,0
1.45006,851.532,0,-10075.8,0,9.5895,0,-0.21237,0
1.61673,921.997,0,-10088.6,0,10.3696,0,-0.210812,0
1.78339,988.969,0,-10101.6,0,11.1074,0,-0.209183,0
1.95061,1052.96,0,-10114.8,0,11.8087,0,-0.207477,0
2.11731,1113.85,0,-10128.2,0,12.4721,0,-0.205706,0
2.28398,1172.05,0,-10141.6,0,13.1025,0,-0.203865,0
2.45065,1227.79,0,-10155.2,0,13.7024,0,-0.201952,0
2.61732,1281.25,0,-10168.7,0,14.2738,0,-0.199968,0
2.78398,1332.61,0,-10182.2,0,14.8187,0,-0.197911,0
2.95069,1382.01,0,-10195.8,0,15.3388,0,-0.195781,0
3.11736,1429.58,0,-10209.2,0,15.8354,0,-0.193577,0
