time,X,Y,Z,rollDeg,pitchDeg,yawDeg,alphaDeg,betaDeg
0.1896,41.4229,-0.0169434,-10000.3,-0.0559574,0.461076,-0.0821712,-0.0660911,0.0376503
0.356267,75.0739,-0.0568967,-10000.9,-0.300581,1.41767,-0.0864019,-0.0178472,0.00486951
0.522947,108.881,-0.106506,-10002.1,-0.587554,2.41922,-0.0689442,-0.0175264,-0.013995
0.689615,142.817,-0.156295,-10003.8,-0.857902,3.45732,-0.0820264,-0.00912726,-0.00547115
0.856282,176.861,-0.214501,-10006.2,-1.14572,4.54337,-0.102422,-0.0035378,-0.00522579
1.02295,210.987,-0.286512,-10009.3,-1.4456,5.64166,-0.122334,-0.00408344,-0.00951778
1.18962,245.172,-0.374504,-10013.1,-1.74379,6.74705,-0.151597,-0.00346499,-0.00959809
1.35629,279.389,-0.48304,-10017.5,-2.04404,7.86707,-0.190175,-0.00185744,-0.00942568
1.52295,313.616,-0.61727,-10022.6,-2.34865,8.99899,-0.235605,-0.00102622,-0.0104579
1.68962,347.828,-0.781673,-10028.4,-2.65603,10.1403,-0.289068,-0.000268759,-0.0111155
1.85629,382,-0.98093,-10034.9,-2.96648,11.2916,-0.351367,0.000742501,-0.0114829
2.02296,416.109,-1.22002,-10042.1,-3.28095,12.4528,-0.422375,0.00170996,-0.0119992
2.18963,450.13,-1.50388,-10050,-3.59972,13.6229,-0.502396,0.00263813,-0.0125023
2.35629,484.04,-1.83751,-10058.6,-3.92315,14.8018,-0.591902,0.00361261,-0.0129217
2.52304,517.83,-2.22617,-10068,-4.25196,15.9896,-0.691274,0.0046043,-0.0133309
2.68971,551.448,-2.67463,-10078,-4.58639,17.1848,-0.800789,0.00559733,-0.0137284
2.85637,584.884,-3.1882,-10088.8,-4.92711,18.3878,-0.920938,0.00660536,-0.0140966
3.02304,618.117,-3.77205,-10100.3,-5.27473,19.598,-1.05218,0.00762786,-0.0144443
3.18971,651.124,-4.43139,-10112.5,-5.62988,20.8153,-1.19502,0.00866076,-0.0147761
3.35638,683.882,-5.17141,-10125.3,-5.99324,22.0393,-1.34999,0.00970507,-0.0150902
3.52308,716.379,-6.0008,-10138.9,-16.1792,23.2651,-1.54231,0.00750836,-0.0271254
3.68975,748.619,-7.13959,-10153.1,-70.604,24.0834,-2.35123,-0.0768262,-0.182739
3.85657,780.782,-8.95936,-10167.4,-92.9181,24.0134,-3.99177,0.0242204,-0.1174
4.02324,812.911,-11.8504,-10181.5,-90.6146,23.3878,-6.37159,0.148161,-0.0234789
4.18991,844.907,-16.1144,-10195.6,-40.9751,24.0157,-8.95008,0.211769,0.18566
4.35667,876.382,-21.4569,-10210.5,-22.0251,25.951,-10.422,0.182949,0.0503706
4.52334,907.243,-27.3147,-10226.3,-15.573,27.5352,-10.9573,0.053985,-0.0725426
4.69001,937.644,-33.3632,-10242.9,-13.4639,28.8487,-11.4344,0.0395314,-0.0166649
4.85668,967.603,-39.5649,-10260.3,-13.0613,30.2353,-11.9174,0.0503346,-0.00311929
5.02334,997.092,-45.9176,-10278.4,-13.2899,31.586,-12.3357,0.0345464,-0.0256653
5.19002,1026.11,-52.3993,-10297.1,-13.7214,32.8833,-12.7696,0.0299289,-0.0228986
5.35669,1054.64,-59.008,-10316.6,-14.2544,34.1916,-13.2433,0.0344116,-0.0174175
5.52335,1082.67,-65.7493,-10336.7,-14.8487,35.5076,-13.7378,0.0347842,-0.0202782
5.69002,1110.17,-72.6235,-10357.4,-15.4778,36.8183,-14.2587,0.0346568,-0.0213349
5.85669,1138.06,-79.4392,-10377.4,-11.8843,10.625,-8.18059,-20.0033,0.314485
6.02346,1164.19,-84.9794,-10390.4,-7.43598,8.49316,-11.2493,-13.4478,1.27216
6.19014,1187.22,-90.3511,-10402,-14.0606,46.1291,-17.7911,7.68345,-0.583179
6.3568,1201.98,-95.9289,-10422.3,-22.8789,64.0554,-21.8771,2.9324,-2.71001
6.52347,1211.57,-100.822,-10445.6,-28.078,69.5852,-27.0942,1.02384,-1.25511
6.69025,1219,-105.352,-10469.8,-36.3025,72.3128,-36.8742,0.841219,0.335227
6.85699,1224.68,-110.072,-10494.7,-47.3087,74.8649,-47.8733,0.743966,0.40738
7.02366,1228.85,-115.044,-10520,-45.0353,74.2724,-44.2577,-2.469,-0.081324
7.19032,1234.95,-120.003,-10544.7,-16.7249,47.3105,-15.3851,-23.5424,0.469473
7.35699,1243.42,-124.636,-10565.7,-22.4654,57.6827,-25.0343,-4.18694,1.15042
7.52366,1251.17,-129.527,-10586.5,-62.0998,76.6899,-64.106,5.41901,-0.471605
7.69036,1252.04,-134.275,-10608.7,-122.111,78.6092,-121.639,2.4499,-1.83684
7.85703,1249.14,-138.548,-10631,-140.238,75.9856,-139.311,0.871562,-1.17425
8.0237,1244.51,-142.529,-10653.2,-144.315,73.214,-144.006,0.563652,-0.0311518
8.19036,1238.61,-146.557,-10675.5,-147.889,70.244,-147.694,0.590838,0.368173
8.35703,1231.42,-150.766,-10697.7,-152.033,67.8306,-151.22,0.405501,0.122803
8.5237,1223.14,-155.106,-10719.8,-155.226,66.2195,-153.69,0.140431,-0.130168
8.69037,1214.06,-159.507,-10742,-157.05,64.951,-155.077,0.0274658,-0.121941
8.85807,1204.24,-163.991,-10764.3,-158.227,63.5541,-156.001,0.0547013,-0.00578943
9.02488,1193.75,-168.552,-10786.5,-159.442,61.9895,-156.935,0.0930751,0.0377006
